dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
36_speech,t100,103,adjusted,159,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,160,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,161,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,162,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,163,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,164,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,165,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,166,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,167,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,168,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,169,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,170,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,171,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,172,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,173,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,174,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,175,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
